gene,group
Tmem255a,Neurons,
Tox,Astrocytes,
Trbc2,,
Trem2,Microglia,
Trp73,Neurons,
Trpc4,Endothelial,
Unc13c,Neurons,
Vat1l,Neurons,
Vip,Neurons,
Vwc2l,Neurons,
Wfs1,Astrocytes,
Zfp366,Endothelial,
Zfp536,Oligodendrocytes,
Zfpm2,Astrocytes,
